Ticker;Nome da Empresa;Setor de Atuação;Nota dos Usuários;Num. de Votos;Segmento de Listagem;Tag Along;Free Float;Listagem CVM;Fundação
PETR;Petrobras;Petróleo e Gás - Refino;3.8;71;Nível 2;100% ON - 100% PN;44,10% ON - 71,31% PN - 55,78% Total;1977;1953
ITUB;Itaú;Bancos;4.9;162;Nível 1;80% ON - 80% PN;9,08% ON - 87,46% PN - 47,82% Total;2002;1943
VALE;Vale;Mineração;4.3;109;Novo Mercado;100% ON;76,48% ON;1970;1943
ABEV;Ambev;Bebidas;4.4;139;Tradicional;80% ON;27,98% ON;2013;2005
BPAC;BTG Pactual;Bancos;4.3;38;Nível 2;100% ON - 100% PN - 100% UNIT;15,88% ON - 54,00% PN - 30,00% Total;2011;1979
WEGE;Weg;Motores e Compressores;4.9;323;Novo Mercado;100% ON;35,37% ON;1982;1961
BBAS;Banco do Brasil;Bancos;4.7;129;Novo Mercado;100% ON;49,59% ON;1977;1808
BBDC;Bradesco;Bancos;4.2;129;Nível 1;100% ON - 80% PN;28,27% ON - 97,52% PN - 62,84% Total;1977;1943
ITSA;Itaúsa;Holding;4.4;62;Nível 1;80% ON - 80% PN;9,55% ON - 74,42% PN - 52,12% Total;1977;1966
SANB;Santander;Bancos;3.8;35;Tradicional;100% ON - 100% PN - 100% UNIT;9,10% ON - 10,20% PN - 9,64% Total;2007;1985
ELET;Eletrobras;Energia - Distribuição;2.5;29;Nível 1;80% ON - 0% PN;44,39% ON - 61,49% PN - 46,47% Total;1971;1962
VIVT;Telefônica Brasil;Telecomunicações;4.3;67;Tradicional;80% ON - 0% PN;24,71% ON;1998;1998
SUZB;Suzano Papel;Papel e Celulose;4.2;37;Novo Mercado;100% ON;53,40% ON;1992;1987
B3SA;B3;Bolsa de Valores;4.6;143;Novo Mercado;100% ON;72,71% ON;2008;2007
BBSE;BB Seguridade;Seguros;4.5;71;Novo Mercado;100% ON;33,59% ON;2013;2012
RDOR;Rede D'Or;Serviços Hospitalares;3.2;30;Novo Mercado;100% ON;24,02% ON;2019;2003
RENT;Localiza;Locação - Veículos;4.3;59;Novo Mercado;100% ON;79,70% ON;2005;1973
SBSP;Sabesp;Saneamento;3.7;16;Novo Mercado;100% ON;49,74% ON;1994;1973
